code,name,area,density
AFE,Africa Eastern and Southern,920792331527.746,920792331527.746
AFG,Afghanistan,652230.0,65.0
AFW,Africa Western and Central,784587603322.866,784587603322.866
AND,Andorra,468.0,170.0
ARE,United Arab Emirates,83600.0,134.0
ARG,Argentina,2780400.0,17.0
ATG,Antigua and Barbuda,442.0,214.0
AUS,Australia,7692024.0,3.0
AUT,Austria,83871.0,109.0
BDI,Burundi,27834.0,516.0
BEL,Belgium,30528.0,386.0
BEN,Benin,112622.0,122.0
BFA,Burkina Faso,272967.0,85.0
BGD,Bangladesh,147570.0,1329.0
BGR,Bulgaria,110879.0,62.0
BHR,Bahrain,765.0,1892.0
BHS,"Bahamas, The",13943.0,41.0
BLZ,Belize,22966.0,18.0
BMU,Bermuda,54.0,1186.0
BOL,Bolivia,1098581.0,11.0
BRA,Brazil,8515767.0,26.0
BRB,Barbados,430.0,656.0
BRN,Brunei Darussalam,5765.0,86.0
BTN,Bhutan,38394.0,21.0
BWA,Botswana,582000.0,5.0
CAF,Central African Republic,622984.0,9.0
CAN,Canada,9984670.0,4.0
CHE,Switzerland,41284.0,223.0
CHL,Chile,756102.0,26.0
CHN,China,9706961.0,151.0
CIV,Cote d'Ivoire,322463.0,91.0
CMR,Cameroon,475442.0,61.0
COD,"Congo, Dem. Rep.",2344858.0,45.0
COG,"Congo, Rep.",342000.0,18.0
COL,Colombia,1141748.0,47.0
COM,Comoros,1862.0,458.0
CPV,Cabo Verde,4033.0,148.0
CRI,Costa Rica,51100.0,102.0
CSS,Caribbean small states,66039332389.2884,66039332389.2884
CUB,Cuba,109884.0,108.0
CYP,Cyprus,9251.0,136.0
DEU,Germany,357114.0,238.0
DMA,Dominica,751.0,97.0
DNK,Denmark,43094.0,148.0
DOM,Dominican Republic,48671.0,235.0
DZA,Algeria,2381741.0,19.0
EAP,East Asia & Pacific (excluding high income),17448894596355.7,17448894596355.7
EAR,Early-demographic dividend,10668243564848.3,10668243564848.3
EAS,East Asia & Pacific,27097404937164.8,27097404937164.8
ECS,Europe & Central Asia,22121578723066.8,22121578723066.8
ECU,Ecuador,276841.0,73.0
EGY,"Egypt, Arab Rep.",1002450.0,113.0
EMU,Euro area,13021049031268.7,13021049031268.7
ESP,Spain,505992.0,95.0
ETH,Ethiopia,1104300.0,112.0
FIN,Finland,338424.0,18.0
FJI,Fiji,18272.0,51.0
FRA,France,551695.0,118.0
GAB,Gabon,267668.0,9.0
GBR,United Kingdom,242900.0,280.0
GHA,Ghana,238533.0,150.0
GMB,"Gambia, The",10689.0,274.0
GNB,Guinea-Bissau,36125.0,76.0
GNQ,Equatorial Guinea,28051.0,61.0
GRC,Greece,131990.0,80.0
GRD,Grenada,344.0,371.0
GRL,Greenland,2166086.0,0.0
GTM,Guatemala,108889.0,169.0
GUY,Guyana,214969.0,4.0
HIC,High income,53461077539109.3,53461077539109.3
HKG,"Hong Kong SAR, China",1104.0,7135.0
HND,Honduras,112492.0,95.0
HPC,Heavily indebted poor countries (HIPC),797697289590.406,797697289590.406
HTI,Haiti,27750.0,425.0
IBD,IBRD only,29900583521576.8,29900583521576.8
IBT,IDA & IBRD total,32139314724146.1,32139314724146.1
IDA,IDA total,2239424393002.2,2239424393002.2
IDB,IDA blend,961669400838.282,961669400838.282
IDN,Indonesia,1904569.0,148.0
IDX,IDA only,1278442378837.88,1278442378837.88
IND,India,3287590.0,481.0
IRL,Ireland,70273.0,73.0
IRN,"Iran, Islamic Rep.",1648195.0,55.0
IRQ,Iraq,438317.0,105.0
ISL,Iceland,103000.0,4.0
ITA,Italy,301336.0,199.0
JAM,Jamaica,10991.0,261.0
JOR,Jordan,89342.0,128.0
JPN,Japan,377930.0,338.0
KEN,Kenya,580367.0,97.0
KHM,Cambodia,181035.0,96.0
KIR,Kiribati,811.0,165.0
KNA,St. Kitts and Nevis,261.0,184.0
KOR,"Korea, Rep.",100210.0,531.0
KWT,Kuwait,17818.0,242.0
LAC,Latin America & Caribbean (excluding high income),4035270946811.09,4035270946811.09
LCA,St. Lucia,616.0,295.0
LCN,Latin America & Caribbean,4725519821856.69,4725519821856.69
LIE,Liechtenstein,160.0,247.0
LKA,Sri Lanka,65610.0,354.0
LMC,Lower middle income,7384772400818.06,7384772400818.06
LMY,Low & middle income,30993151083682.1,30993151083682.1
LSO,Lesotho,30355.0,77.0
LTE,Late-demographic dividend,22433389417760.0,22433389417760.0
LUX,Luxembourg,2586.0,254.0
MAC,"Macao SAR, China",32.9,21403.0
MAR,Morocco,446550.0,85.0
MCO,Monaco,2.02,18149.0
MDG,Madagascar,587041.0,52.0
MDV,Maldives,300.0,1737.0
MEX,Mexico,1964375.0,66.0
MHL,Marshall Islands,181.0,233.0
MIC,Middle income,30535343464998.6,30535343464998.6
MLI,Mali,1240192.0,19.0
MLT,Malta,316.0,1672.0
MMR,Myanmar,676578.0,84.0
MNA,Middle East & North Africa (excluding high income),1195745981528.4,1195745981528.4
MNG,Mongolia,1564110.0,2.0
MRT,Mauritania,1030700.0,5.0
MUS,Mauritius,2040.0,641.0
MWI,Malawi,118484.0,222.0
MYS,Malaysia,330803.0,104.0
NAC,North America,22605296107568.4,22605296107568.4
NAM,Namibia,825615.0,3.0
NCL,New Caledonia,18575.0,16.0
NER,Niger,1267000.0,21.0
NGA,Nigeria,923768.0,246.0
NIC,Nicaragua,130373.0,59.0
NLD,Netherlands,41850.0,523.0
NOR,Norway,323802.0,15.0
NPL,Nepal,147181.0,216.0
NZL,New Zealand,270467.0,20.0
OED,OECD members,52392675685741.2,52392675685741.2
OMN,Oman,309500.0,15.0
PAK,Pakistan,881912.0,312.0
PAN,Panama,75417.0,60.0
PER,Peru,1285216.0,27.0
PHL,Philippines,342353.0,394.0
PNG,Papua New Guinea,462840.0,23.0
PRE,Pre-demographic dividend,1293147607836.51,1293147607836.51
PRI,Puerto Rico,8870.0,368.0
PRT,Portugal,92090.0,112.0
PRY,Paraguay,406752.0,17.0
PST,Post-demographic dividend,49594473170967.9,49594473170967.9
QAT,Qatar,11586.0,236.0
RWA,Rwanda,26338.0,571.0
SAS,South Asia,3386420411905.1,3386420411905.1
SAU,Saudi Arabia,2149690.0,17.0
SDN,Sudan,1886068.0,26.0
SEN,Senegal,196722.0,92.0
SGP,Singapore,710.0,8377.0
SLB,Solomon Islands,28896.0,26.0
SLE,Sierra Leone,71740.0,122.0
SLV,El Salvador,21041.0,307.0
SOM,Somalia,637657.0,29.0
SSA,Sub-Saharan Africa (excluding high income),1704320048486.98,1704320048486.98
SSF,Sub-Saharan Africa,1705379934850.61,1705379934850.61
SUR,Suriname,163820.0,4.0
SWE,Sweden,450295.0,26.0
SWZ,Eswatini,17364.0,70.0
SYC,Seychelles,452.0,234.0
SYR,Syrian Arab Republic,185180.0,126.0
TCD,Chad,1284000.0,15.0
TEA,East Asia & Pacific (IDA & IBRD countries),17426659793626.2,17426659793626.2
TGO,Togo,56785.0,166.0
THA,Thailand,513120.0,141.0
TLA,Latin America & the Caribbean (IDA & IBRD countries),4478206456171.96,4478206456171.96
TMN,Middle East & North Africa (IDA & IBRD countries),1180179221398.0,1180179221398.0
TON,Tonga,747.0,150.0
TSA,South Asia (IDA & IBRD),3386420411905.1,3386420411905.1
TSS,Sub-Saharan Africa (IDA & IBRD countries),1705379934850.61,1705379934850.61
TTO,Trinidad and Tobago,5130.0,299.0
TUN,Tunisia,163610.0,80.0
TUR,Turkey,783562.0,110.0
UGA,Uganda,241550.0,242.0
UMC,Upper middle income,23150665555175.7,23150665555175.7
URY,Uruguay,181034.0,20.0
USA,United States,9372610.0,37.0
VCT,St. Vincent and the Grenadines,389.0,266.0
VEN,"Venezuela, RB",916445.0,33.0
VUT,Vanuatu,12189.0,27.0
WLD,World,84746979120044.5,84746979120044.5
WSM,Samoa,2842.0,81.0
ZAF,South Africa,1221037.0,50.0
ZMB,Zambia,752612.0,28.0
ZWE,Zimbabwe,390757.0,43.0
